日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前一天收盘价,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018/9/25,'601857,中国石油,8.89,9.1,8.86,8.86,8.81,0.08,0.9081,0.0333,53980250,483253071,1.63E+12,1.44E+12
2018/9/26,'601857,中国石油,9.05,9.09,8.83,8.86,8.89,0.16,1.7998,0.035,56594865,510305511,1.66E+12,1.47E+12
2018/9/27,'601857,中国石油,9.11,9.17,8.99,9.03,9.05,0.06,0.663,0.0291,47152820,429052656,1.67E+12,1.48E+12
2018/9/28,'601857,中国石油,9.17,9.17,9.01,9.11,9.11,0.06,0.6586,0.0265,42977314,390526003,1.68E+12,1.48E+12
2018/10/8,'601857,中国石油,8.83,9.3,8.81,9.11,9.17,-0.34,-3.7077,0.0529,85611062,776121413,1.62E+12,1.43E+12
2018/10/9,'601857,中国石油,9.22,9.34,8.83,8.83,8.83,0.39,4.4168,0.0565,91499104,837079259,1.69E+12,1.49E+12
2018/10/10,'601857,中国石油,9.33,9.34,9.13,9.2,9.22,0.11,1.1931,0.0315,50939564,470760090,1.71E+12,1.51E+12
2018/10/11,'601857,中国石油,8.83,9.07,8.64,8.97,9.33,-0.5,-5.3591,0.0614,99412026,882853587,1.62E+12,1.43E+12
2018/10/12,'601857,中国石油,8.91,8.95,8.6,8.72,8.83,0.08,0.906,0.0375,60684024,531155033,1.63E+12,1.44E+12
2018/10/15,'601857,中国石油,8.83,9.05,8.66,8.82,8.91,-0.08,-0.8979,0.0358,57934742,512418966,1.62E+12,1.43E+12
2018/10/16,'601857,中国石油,8.92,9.08,8.75,8.79,8.83,0.09,1.0193,0.0308,49914400,447080976,1.63E+12,1.44E+12
2018/10/17,'601857,中国石油,9.09,9.14,8.94,8.97,8.92,0.17,1.9058,0.0382,61819921,559824565,1.66E+12,1.47E+12
2018/10/18,'601857,中国石油,8.37,8.94,8.35,8.93,9.09,-0.72,-7.9208,0.0663,107280410,921621140,1.53E+12,1.36E+12
2018/10/19,'601857,中国石油,8.52,8.56,8.09,8.14,8.37,0.15,1.7921,0.0478,77360600,643530573,1.56E+12,1.38E+12
2018/10/22,'601857,中国石油,8.7,8.79,8.44,8.47,8.52,0.18,2.1127,0.0576,93323289,808174144,1.59E+12,1.41E+12
2018/10/23,'601857,中国石油,8.52,8.74,8.49,8.55,8.7,-0.18,-2.069,0.0288,46629881,401072639,1.56E+12,1.38E+12
2018/10/24,'601857,中国石油,8.3,8.41,8.11,8.21,8.52,-0.22,-2.5822,0.0472,76388165,629633654,1.52E+12,1.34E+12
2018/10/25,'601857,中国石油,8.27,8.27,8.1,8.14,8.3,-0.03,-0.3614,0.0282,45625981,373690998,1.51E+12,1.34E+12
2018/10/26,'601857,中国石油,8.24,8.37,8.21,8.3,8.27,-0.03,-0.3628,0.0258,41806777,346358966,1.51E+12,1.33E+12
2018/10/29,'601857,中国石油,8.23,8.4,8.18,8.4,8.24,-0.01,-0.1214,0.0325,52577457,435887444,1.51E+12,1.33E+12
2018/10/30,'601857,中国石油,8.26,8.28,8.06,8.23,8.23,0.03,0.3645,0.0298,48286283,396194025,1.51E+12,1.34E+12
2018/10/31,'601857,中国石油,8.31,8.33,8.16,8.31,8.26,0.05,0.6053,0.0389,63014075,518973910,1.52E+12,1.35E+12
2018/11/1,'601857,中国石油,8.2,8.35,8.19,8.24,8.31,-0.11,-1.3237,0.0442,71597755,591548744,1.50E+12,1.33E+12
2018/11/2,'601857,中国石油,8.31,8.33,8.11,8.2,8.2,0.11,1.3415,0.0568,91912763,756038670,1.52E+12,1.35E+12
2018/11/5,'601857,中国石油,8.29,8.3,8.18,8.22,8.31,-0.02,-0.2407,0.035,56675656,466325811,1.52E+12,1.34E+12
2018/11/6,'601857,中国石油,8.35,8.38,8.23,8.26,8.29,0.06,0.7238,0.0438,70961967,590858259,1.53E+12,1.35E+12
